word_mf2,label_raw,c_numerical,num_cnum,sentence_sep
您好很高兴为您服务哎你好哎你好哎想把这个号码设置呼叫转移咋整您是所有来电都要转移吗那边您知道密码吧我不知道那您可以通过手机上来进行设置如果呼叫转移成功以后的话他是要收费的转接到别的号码上一分钟一毛钱呃我把这个设置的方式给您发过去一会您按照短信提示就能设置还有其他的方法也发给您随时您的也可以取消好谢谢啊不客气啊请问还有什么可以帮您吗没有,办理下载/设置,30,2,您好很高兴为您服务[SEP]哎你好[SEP]哎你好[SEP]哎想把这个号码设置呼叫转移咋整[SEP]您是所有来电都要转移吗[SEP]那边[SEP]您知道密码吧[SEP]我不知道[SEP]那您可以通过手机上来进行设置如果呼叫转移成功以后的话他是要收费的转接到别的号码上一分钟一毛钱呃我把这个设置的方式给您发过去一会您按照短信提示就能设置还有其他的方法也发给您随时您的也可以取消好谢谢啊不客气啊请问还有什么可以帮您吗[SEP]没有
您好您好请讲哎你好你给我那个呃那个这个手机里彩铃给我换一下呗我原先是那个他们现在彩铃都能的声音的都忘了都是了谢谢好的请稍等一下啊我问一下我那天提示嗯女士您是说您的这个彩铃怎么了我想就换一个彩铃听为什么就东西喂你好我在听了女士您说一下您现在说什么我这现在这彩铃打一个电话一个升一个打一个电话一个彩铃啊就您现在彩铃循环播放的您是想给他改成了一个是吧对呀拨打幺二五三零人工台然后跟他说就行这些完了费用还是不花还是是不还是这个费用您打幺二五三零是正常收通话费的啊那行嗯请问还有其他能帮助到您的吗没有了没有了,办理下载/设置,30,2,您好您好请讲哎你好你给我那个呃那个这个手机里彩铃给我换一下呗我原先是那个他们现在彩铃都能的声音的都忘了都是了谢谢[SEP]好的[SEP]请稍等一下啊[SEP]我问一下我那天提示嗯女士您是说您的这个彩铃怎么了[SEP]我想就换一个彩铃听为什么就东西喂你好[SEP]我在听了女士您说一下您现在说什么我这现在这彩铃打一个电话一个升一个打一个电话一个彩铃啊就您现在彩铃循环播放的您是想给他改成了一个是吧对呀拨打幺二五三零人工台然后跟他说就行这些完了费用还是不花还是是不还是这个费用[SEP]您打幺二五三零是正常收通话费的啊那行嗯请问还有其他能帮助到您的吗[SEP]没有了没有了
您好请讲哎你好那个我想把我这个我把我手机那个彩铃设置成那个嗯你所拨打的电话无法接通呃女士我们这边直接给您设不了彩铃我们只能负责帮您开彩铃这项业务的话谢谢请您先讲啊开完了之后完我今天下载完直接设置才可以啊对但是说您开完彩铃业务之后您得需要拨打幺二五三零去问一下他们人工服务有没有这样的铃音如果有的话您就可以进行设置给我查一下一百你这边给我开通我说打幺二五三零完再在那边再跟他说对或者是说我因为我不确定他们现在有没有这种这种明年的您也可以先问一下他们如果有这种铃音之后您再办理这个彩铃要不然您办完之后设不了的话可能就得扣钱了就白瞎这个费用了啊好的好的谢谢啊不客气自己然后打幺二五三零是正常收通话费的啊好的好的支付宝谢谢啊不客气对祝您节日愉快再见再见,办理下载/设置,30,2,您好请讲哎你好[SEP]那个我想把我这个我把我手机那个彩铃设置成那个嗯你所拨打的电话无法接通[SEP]呃女士我们这边直接给您设不了彩铃我们只能负责帮您开彩铃这项业务[SEP]的话谢谢[SEP]请您先讲[SEP]啊开完了之后完我今天下载完直接设置才可以啊[SEP]对但是说您开完彩铃业务之后您得需要拨打幺二五三零去问一下他们人工服务有没有这样的铃音如果有的话您就可以进行设置[SEP]给我查一下一百你这边给我开通我说打幺二五三零完再在那边再跟他说[SEP]对或者是说我因为我不确定他们现在有没有这种这种明年的您也可以先问一下他们如果有这种铃音之后您再办理这个彩铃要不然您办完之后设不了的话可能就得扣钱了就白瞎这个费用了啊好的好的谢谢啊不客气[SEP]自己[SEP]然后打幺二五三零是正常收通话费的啊好的好的[SEP]支付宝[SEP]谢谢啊不客气[SEP]对[SEP]祝您节日愉快再见[SEP]再见
您好请讲哎你好哎你给我开一个那个流量那个加油包吧女士请问是十块钱一百兆的流量加油包吗还有多少钱的除了十块钱一百兆呢有二十三百兆三十五百兆呃再多一些的话也有但是今天办的话都是收您一半的费用给您一半的流量的女士啊那你给我开三十五百兆的吧然后那个我刚才听了语音提示说什么玩意还能送一g流量啥的那个活动吗您说的这个一个g呀女士是您下载咱们幺零零八六ip客户端成功登陆之后里面有个现在送豪礼的活动您点击一键签到获取流量币通过流量币呀最多能获赠一个g的省内流量的咱们现在有这个活动了啊啊那行先给我开个加油包吧那那个就是什么幺零零八六客户端那个咋下载呀你给我发一个链接呀还怎么的对我给您下发一个王纸然后我建议您呢在wifi的情况下给它登陆一下进行参与好吗啊行一会给我发过来吧完了加油包呢先给我开的请问您的手机尾号是八幺幺八请问对吗啊对那这现在办理的话收您十五块钱给您两百五十兆行请问您想长期用还是月底自动取消女士我月底想要取消那这个流量啊只能当月用超出的资费了我给您下发到手机上只要您稍后收到短信就能用了女士啊行谢谢啊吧三天就自动取消了呀恩对就不用您再拨打过来了啊行行谢谢你啊不客气王纸我也发送了请问还有什么可以帮助您啊没有了好了再见恩祝您生活愉快再见,办理下载/设置,30,2,您好请讲[SEP]哎你好哎你给我开一个那个流量那个加油包吧[SEP]女士请问是十块钱一百兆的流量加油包吗[SEP]还有多少钱的[SEP]除了十块钱一百兆呢有二十三百兆三十五百兆呃再多一些的话也有但是今天办的话都是收您一半的费用给您一半的流量的女士[SEP]啊那你给我开三十五百兆的吧然后那个我刚才听了语音提示说什么玩意还能送一g流量啥的那个活动吗[SEP]您说的这个一个g呀女士是您下载咱们幺零零八六ip客户端成功登陆之后里面有个现在送豪礼的活动您点击一键签到获取流量币通过流量币呀最多能获赠一个g的省内流量的[SEP]咱们现在有这个活动了啊啊那行先给我开个加油包吧那那个就是什么幺零零八六客户端那个咋下载呀你给我发一个链接呀还怎么的[SEP]对我给您下发一个王纸然后我建议您呢在wifi的情况下给它登陆一下进行参与好吗[SEP]啊行一会给我发过来吧完了加油包呢先给我开的[SEP]请问您的手机尾号是八幺幺八请问对吗[SEP]啊对[SEP]那这现在办理的话收您十五块钱给您两百五十兆[SEP]行[SEP]请问您想长期用还是月底自动取消女士[SEP]我月底想要取消[SEP]那这个流量啊只能当月用超出的资费了我给您下发到手机上只要您稍后收到短信就能用了女士[SEP]啊行谢谢啊吧三天就自动取消了呀[SEP]恩对就不用您再拨打过来了[SEP]啊行行谢谢你啊[SEP]不客气王纸我也发送了请问还有什么可以帮助您[SEP]啊没有了好了[SEP]再见恩祝您生活愉快再见
您好请讲哎你好帮我查一下我这有多少套餐怎么套餐都都怎么消费的请稍等我帮您查询一下您好我帮您查了一下您这张卡有一个八块钱的月租十块钱七十兆的流量智能套餐五块钱的彩铃最低消费十块或者用完的了这个八块钱不不不不包括你了那个八块钱里边不带彩铃的我知道最低消费十块钱那个是怎么事啊您现在每个月扣您费用的一共是二十三已经超过最低消费了不用再考虑最低消费了你把那个流量给我取消可以取消之后剩的流量能用到月末不能结转到下个月用请问可以了你们给我取消你你那彩铃我的彩铃怎么换呢那您是不是原来的铃音已经到期了那这个您可以拨打幺二五三零您问一下幺二五八零啊幺二五三零幺二五三零是吧对拨打幺二五三零正常收取通话费的然后十块钱的流量我帮您取消了啊你这个彩铃能能取消啊彩铃可以取消取消之后现在立即就不能用了您看现在取消还是月末取消哎这钱不已经花了吗对本月的钱已经花了但是现在取消彩铃是立即就不能用了这样话我这反映怎么换换歌呢就是换换换别的不是原来这个了那就证明您原来的那个铃音有可能会到期所以说您可以拨打幺二五三零您先问一下啊行行行他这能查出那个那个记录是不是嗯这个我这边没有具体显示您拨打幺二五三零二零也是进入到人工台您问一下行行行行幺二三个六对然后拨打这个幺二五三零正常收取通话费的啊行谢谢不客气彩铃没有帮您取消十块钱的流量已经帮您取消了所有的费用不客气请问还有什么可以帮助您没有了谢谢不客气祝您生活愉快再见,办理下载/设置,30,2,您好请讲[SEP]哎你好帮我查一下我这[SEP]有多少套餐怎么套餐[SEP]都都怎么消费的[SEP]请稍等我帮您查询一下您好我帮您查了一下您这张卡有一个八块钱的月租十块钱七十兆的流量智能套餐五块钱的彩铃最低消费十块或者用完的了[SEP]这个八块钱不不不不包括你了那个[SEP]八块钱里边不带彩铃的[SEP]我知道最低消费十块钱那个是怎么事啊[SEP]您现在每个月扣您费用的一共是二十三已经超过最低消费了不用再考虑最低消费了[SEP]你把那个流量给我取消[SEP]可以取消之后剩的流量能用到月末不能结转到下个月用请问可以了你们给我取消你你那彩铃我的彩铃怎么换呢那您是不是原来的铃音已经到期了那这个您可以拨打幺二五三零您问一下[SEP]幺二五八零啊[SEP]幺二五三零[SEP]幺二五三零是吧[SEP]对拨打幺二五三零正常收取通话费的然后十块钱的流量我帮您取消了[SEP]啊你这个彩铃能能取消啊[SEP]彩铃可以取消取消之后现在立即就不能用了您看现在取消还是月末取消[SEP]哎这钱不已经花了吗[SEP]对本月的钱已经花了但是现在取消彩铃是立即就不能用了[SEP]这样话我这反映怎么换换歌呢就是换换换别的不是原来这个了[SEP]那就证明您原来的那个铃音有可能会到期所以说您可以拨打幺二五三零您先问一下[SEP]啊行行行他这能查出那个那个记录是不是[SEP]嗯这个我这边没有具体显示您拨打幺二五三零二零也是进入到人工台您问一下[SEP]行行行行幺二[SEP]三个六对然后拨打这个幺二五三零正常收取通话费的啊行谢谢不客气彩铃没有帮您取消十块钱的流量已经帮您取消了[SEP]所有的费用[SEP]不客气请问还有什么可以帮助您没有了谢谢不客气祝您生活愉快再见
您好很高兴为您服务您好请讲要有号他停机了麻烦你给他开通一下吧好您报一下号码呃幺五零幺五零九三三八九三三八三四三四三四三四请稍等现在卡三个g好这边已经帮您开好了现在可以放心用了好行好好,办理停复机,20,2,您好很高兴为您服务您好请讲[SEP]要有号他停机了麻烦你给他开通一下吧[SEP]好您报一下号码呃幺五零幺五零[SEP]九三三八[SEP]九三三八[SEP]三四三四[SEP]三四三四请稍等现在卡三个g好这边已经帮您开好了现在可以放心用了[SEP]好行好好
很高兴服务呃你好就是我有个号段之前办那个紧急停机我想要它开机卡报一下号码呃幺三七幺三七二三六二二三零二还是二三六二二三六二二十二然后就呃三五三五您是有身份证号码还是服务密码这个身份证号码好的请您输入身份证号码验证唉块好的帮您开过机了啊好谢谢啊好不客气还有什么疑问吗啊没有了,办理停复机,20,2,很高兴服务[SEP]呃你好就是我有个号段之前办那个紧急停机我想要它开机[SEP]卡报一下号码[SEP]呃幺三七[SEP]幺三七[SEP]二三六二[SEP]二三零二还是二三六二[SEP]二三六二[SEP]二十二然后[SEP]就呃三五三五[SEP]您是有身份证号码还是服务密码[SEP]这个身份证号码[SEP]好的请您输入身份证号码验证唉块好的帮您开过机了[SEP]啊好谢谢啊[SEP]好不客气还有什么疑问吗[SEP]啊没有了
您好请讲哎你好我那个怎么说就是我这个绑定到报停了完别的了请问号码是多少那个四四八五唉呀四四八八可以请问有密码吗尤请根据提示输入密码请您请您稍等一下哎幺三五呃要密码的您好啊您好讲我们真的输入正确帮您复通之后当月的固定费用和最低消费正常收取的短信互通的是吧喂行好的已经开通了先生啊行请问您还有其他问题需要咨询吗没了好了谢谢哦,办理停复机,20,2,您好请讲[SEP]哎你好我那个怎么说就是我这个绑定到报停了完别的了[SEP]请问号码是多少[SEP]那个四四八五[SEP]唉呀[SEP]四四八八可以[SEP]请问有密码吗[SEP]尤[SEP]请根据提示输入密码请您请您稍等一下[SEP]哎幺三五呃要密码的[SEP]您好[SEP]啊您好讲我们[SEP]真的输入正确帮您复通之后当月的固定费用和最低消费正常收取的短信互通的是吧[SEP]喂行[SEP]好的已经开通了先生[SEP]啊行[SEP]请问您还有其他问题需要咨询吗[SEP]没了好了谢谢哦
您好很高兴为您服务谢谢啊喂呃是不是喂你好我是那个手机号报开呃办理紧急开机是吗啊我手机昨天昨天咋挂失啊昨天挂失了今天我开先帮我开一下啊好的那您说一下那个手机号码幺三六幺三七幺八四幺二幺三七幺三七幺八四幺八幺八四幺二八好的请稍等好的好的嗯那您记得身份证号码还是服务密码的再见呃身份证身份证号码给给你说吧好的那您输入一下身份证号码不要挂机什么啊嗯嗯嗯好的请稍等啊现在这个业务已经帮您办理成功了已经帮您紧急开机啦我已经成功了是吧好的好谢谢啊哎行好,办理停复机,20,2,您好很高兴为您服务[SEP]谢谢啊喂呃是不是喂你好我是那个手机号报开[SEP]呃办理紧急开机是吗[SEP]啊我手机昨天昨天咋挂失啊昨天挂失了今天我开先帮我开一下[SEP]啊好的那您说一下那个手机号码[SEP]幺三六幺三七幺八四幺二幺三七[SEP]幺三七[SEP]幺八四幺八[SEP]幺八四幺二[SEP]八[SEP]好的请稍等[SEP]好的[SEP]好的嗯那您记得身份证号码还是服务密码的[SEP]再见呃身份证身份证号码给给你说吧[SEP]好的那您输入一下身份证号码不要挂机[SEP]什么啊[SEP]嗯嗯嗯好的请稍等啊现在这个业务已经帮您办理成功了已经帮您紧急开机啦[SEP]我已经成功了是吧好的好谢谢啊哎行好
哦早上好欢迎使用幺零零八六应急处理查询请将呃对咱们卡上那个我想让它说挂失一下手机上了请问号码多少幺三八四三零四幺六三八幺三八四三零四幺六三八对吗啊对请问有这张卡的服务密码吗什么忙这张卡的服务密码六位的哦我不知道那个您这卡是用身份证办的吗对提供一下身份证号码好二二零三八幺一九九五零五二八什么七二一九姓名忘审二二零三八幺一九九五零五二八七二幺九对吧对很抱歉这卡不是您身份证办的呀先生不是这个身份证办的不是我身份证办的这个不是您说这身份证号手机号是幺三八四三零四幺六三八对吧对嗯就是您这个二二零三八幺一九九五零五二八七幺幺酒办的不是的身份证啊不是的身份证啊啊我我知道就是您在问一下对然后再与我们联系帮您办理报停好好好还有什么可以帮助您啊没有祝您生活愉快再见,办理停复机,20,2,哦[SEP]早上好欢迎使用幺零零八六应急处理查询请将[SEP]呃对咱们卡上那个我想让它说挂失一下手机上了[SEP]请问号码多少[SEP]幺三八四三零四幺六三八[SEP]幺三八四三零四幺六三八对吗[SEP]啊对[SEP]请问有这张卡的服务密码吗[SEP]什么忙[SEP]这张卡的服务密码六位的[SEP]哦我不知道那个[SEP]您这卡是用身份证办的吗[SEP]对[SEP]提供一下身份证号码[SEP]好二二零三八幺一九九五零五二八什么七二一九[SEP]姓名[SEP]忘审[SEP]二二零三八幺一九九五零五二八七二幺九对吧[SEP]对[SEP]很抱歉这卡不是您身份证办的呀先生不是这个身份证办的[SEP]不是我身份证办的[SEP]这个不是您说这身份证号手机号是幺三八四三零四幺六三八对吧[SEP]对嗯[SEP]就是您这个二二零三八幺一九九五零五二八七幺幺酒办的不是的身份证[SEP]啊不是的身份证啊啊我我知道[SEP]就是您在问一下对然后再与我们联系帮您办理报停[SEP]好好好[SEP]还有什么可以帮助您[SEP]啊没有[SEP]祝您生活愉快再见
